MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,179,,,,,G4,20368,G4,244NV,179,10135,1013506,30135,ABE,14986,1498603,34986,SRQ,830,814.0,-16.0,0.0,0.0,-2.0,0800-0859,33.0,847.0,1122.0,4.0,1126,1126.0,0.0,0.0,0.0,0.0,1100-1159,0.0,,0.0,N,176.0,192.0,155.0,1.0,1000.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,189,,,,,G4,20368,G4,244NV,189,10135,1013506,30135,ABE,14761,1476107,34761,SFB,1546,1541.0,-5.0,0.0,0.0,-1.0,1500-1559,10.0,1551.0,1753.0,7.0,1825,1800.0,-25.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,N,159.0,139.0,122.0,1.0,882.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,202,,,,,G4,20368,G4,240NV,202,14761,1476107,34761,SFB,10135,1013506,30135,ABE,1910,1913.0,3.0,3.0,0.0,0.0,1900-1959,15.0,1928.0,2138.0,4.0,2136,2142.0,6.0,6.0,0.0,0.0,2100-2159,0.0,,0.0,N,146.0,149.0,130.0,1.0,882.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,204,,,,,G4,20368,G4,244NV,204,14986,1498603,34986,SRQ,10135,1013506,30135,ABE,1216,1213.0,-3.0,0.0,0.0,-1.0,1200-1259,17.0,1230.0,1446.0,4.0,1456,1450.0,-6.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,N,160.0,157.0,136.0,1.0,1000.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2172,,,,,G4,20368,G4,194NV,2172,14761,1476107,34761,SFB,11986,1198603,31986,GRR,1207,1220.0,13.0,13.0,0.0,0.0,1200-1259,10.0,1230.0,1445.0,7.0,1449,1452.0,3.0,3.0,0.0,0.0,1400-1459,0.0,,0.0,N,162.0,152.0,135.0,1.0,1001.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2267,,,,,G4,20368,G4,262NV,2267,10466,1046602,30466,AZA,11637,1163703,31637,FAR,820,810.0,-10.0,0.0,0.0,-1.0,0800-0859,14.0,824.0,1152.0,4.0,1226,1156.0,-30.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,N,186.0,166.0,148.0,1.0,1220.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2268,,,,,G4,20368,G4,262NV,2268,11637,1163703,31637,FAR,10466,1046602,30466,AZA,1311,1252.0,-19.0,0.0,0.0,-2.0,1300-1359,9.0,1301.0,1437.0,7.0,1527,1444.0,-43.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,N,196.0,172.0,156.0,1.0,1220.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2289,,,,,G4,20368,G4,207NV,2289,11775,1177502,31775,FSD,10466,1046602,30466,AZA,1959,2341.0,222.0,222.0,1.0,12.0,1900-1959,11.0,2352.0,111.0,10.0,2157,121.0,204.0,204.0,1.0,12.0,2100-2159,0.0,,0.0,N,178.0,160.0,139.0,1.0,1072.0,5,8.0,0.0,0.0,0.0,196.0,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2304,,,,,G4,20368,G4,207NV,2304,10466,1046602,30466,AZA,11775,1177502,31775,FSD,1530,1527.0,-3.0,0.0,0.0,-1.0,1500-1559,15.0,1542.0,2242.0,6.0,1914,2248.0,,,,,1900-1959,0.0,,1.0,N,164.0,,,1.0,1072.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,233,,,,,G4,20368,G4,296NV,233,14761,1476107,34761,SFB,10431,1043106,30431,AVL,1018,1010.0,-8.0,0.0,0.0,-1.0,1000-1059,12.0,1022.0,1129.0,8.0,1151,1137.0,-14.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,N,93.0,87.0,67.0,1.0,465.0,2,,,,,,,,
