NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-61.47,638.53,0.00,0.00,185444.84,185444.84,0.00,5830.99,0.00,5830.99,103921.53,0.00,103921.53,0.00,0.00,295197.36,256125.20,456.15,0.00,22701.69,6904.07,2864.63,,149.35,5357.74,294558.83,-306.72,0.00,-389.45,0.00,0.00,0.00,-696.17,-57.64,3.83,-61.47,0.00,0.00,0.00,-61.47,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16758,P,3,3,2020,2
-59.20,-42.42,0.00,0.00,3560.08,3560.08,0.00,224.86,0.00,224.86,2456.22,0.00,2456.22,0.00,0.00,6241.16,5376.60,11.10,0.00,548.40,143.79,48.08,,3.13,152.48,6283.58,-6.67,0.00,-14.17,0.00,0.00,4.06,-16.78,-59.20,0.00,-59.20,0.00,0.00,0.00,-59.20,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2020,3
-45.30,-441.94,0.00,0.00,0.00,11501.24,0.00,0.00,0.00,0.00,0.00,0.00,2028.09,0.00,0.00,13529.33,7150.62,2013.74,0.00,517.75,0.00,3925.56,0.00,363.60,0.00,13971.27,0.00,-41.33,437.91,,,0.05,396.64,-45.30,0.00,-45.30,,,,,,20195,WI,Sky Lease Cargo,WI,Sky Lease Cargo,16884,I,2,2,2020,1
-44.67,-267.51,924.35,0.00,,0.00,0.00,,0.00,0.00,,0.00,8.52,0.00,0.00,932.86,420.81,244.04,116.41,13.41,0.00,105.65,0.00,300.06,0.00,1200.37,-71.17,-2.49,0.00,0.00,0.00,280.71,207.05,-60.46,-15.79,-44.67,0.00,0.00,0.00,,0.00,20452,YX,Republic Airline,YX,Republic Airline,11029,L,3,3,2020,2
-43.58,-25.24,0.00,0.00,3285.16,3285.16,0.00,321.28,0.00,321.28,2560.65,0.00,2560.65,0.00,0.00,6167.09,5266.99,12.03,0.00,559.87,148.11,46.33,,3.70,155.29,6192.32,-6.29,0.00,-13.89,0.00,0.00,1.90,-18.28,-43.52,0.07,-43.58,0.00,0.00,0.00,-43.58,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2020,4
-36.65,-38.78,0.00,0.00,1997.94,1997.94,0.00,105.26,0.00,105.26,3400.05,0.00,3400.05,0.00,0.00,5503.25,4567.80,15.61,0.00,584.13,174.25,55.36,,3.63,141.26,5542.03,0.12,0.00,2.00,0.00,0.00,0.00,2.12,-36.65,0.00,-36.65,0.00,0.00,0.00,-36.65,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2020,1
-33.52,128.98,0.00,0.00,43050.14,43050.14,0.00,1353.64,0.00,1353.64,24124.89,0.00,24124.89,0.00,0.00,68528.67,59477.50,105.89,0.00,5270.09,1602.75,665.01,,34.67,1243.77,68399.69,-71.20,0.00,-90.41,0.00,0.00,0.00,-161.61,-32.63,0.89,-33.52,0.00,0.00,0.00,-33.52,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,06758,D,3,3,2020,2
-26.57,2.50,132.82,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,132.82,57.95,49.15,14.93,0.18,0.00,6.26,0.00,1.86,0.00,130.32,-0.46,0.00,0.00,0.00,0.00,-28.61,-29.07,-26.57,0.00,-26.57,0.00,0.00,0.00,,0.00,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,11027,L,2,2,2020,4
-20.71,-24.91,44.63,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,44.63,35.49,16.10,6.57,2.66,0.00,6.32,0.00,2.41,0.00,69.54,0.00,-0.48,0.00,0.00,-0.93,-1.09,-2.50,-27.41,-6.70,-20.71,0.00,0.00,0.00,,0.00,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,11030,L,2,2,2020,4
-19.84,5.96,0.00,0.00,,0.00,0.00,,3747.49,0.00,,0.00,214.71,0.00,225.63,4187.84,1314.50,763.79,307.26,509.25,72.78,1214.32,0.00,0.00,0.00,4181.89,-11.69,-14.11,0.00,0.00,0.00,0.01,-25.79,-19.84,0.00,-19.84,0.00,0.00,0.00,,0.00,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",16076,I,1,1,2020,2
-16.95,188.29,0.00,0.00,36752.24,36752.24,0.00,3594.30,0.00,3594.30,28646.92,0.00,28646.92,0.00,0.00,68993.46,58453.11,134.61,0.00,6263.46,1656.95,518.35,,41.36,1737.34,68805.17,-70.40,0.00,-155.36,0.00,0.00,21.29,-204.47,-16.18,0.77,-16.95,0.00,0.00,0.00,-16.95,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,06758,D,3,3,2020,4
-13.80,161.63,0.00,0.00,37222.44,37222.44,0.00,2351.07,0.00,2351.07,25681.05,0.00,25681.05,0.00,0.00,65254.56,55610.04,116.06,0.00,5733.77,1503.37,502.71,,32.75,1594.24,65092.93,-69.72,0.00,-148.13,0.00,0.00,42.41,-175.43,-13.80,0.00,-13.80,0.00,0.00,0.00,-13.80,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,06758,D,3,3,2020,3
-9.77,2.93,0.00,0.00,,0.00,0.00,,1845.78,0.00,,105.76,0.00,0.00,111.13,2062.67,647.44,376.20,151.34,250.82,35.85,598.10,0.00,0.00,0.00,2059.74,-5.76,-6.95,0.00,0.00,0.00,0.00,-12.70,-9.77,0.00,-9.77,0.00,0.00,0.00,,0.00,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",06076,D,1,1,2020,2
-2.10,-3.09,62.65,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,62.65,33.09,18.36,5.15,2.58,0.00,4.96,0.00,1.59,0.00,65.73,0.00,-0.19,0.00,0.00,0.00,-0.05,-0.25,-3.33,1.24,-2.10,0.00,0.00,0.00,,0.00,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,11030,L,2,2,2020,1
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,19687,QX,Horizon Air,QX,Horizon Air,11023,L,2,2,2020,1
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,19687,QX,Horizon Air,QX,Horizon Air,11023,L,2,2,2020,2
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,19687,QX,Horizon Air,QX,Horizon Air,11023,L,2,2,2020,3
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,19687,QX,Horizon Air,QX,Horizon Air,11023,L,2,2,2020,4
